 (m)      (n)       Wavelength(W)
 37        5         23219.01367
 37        6         33711.28906
 37        7         46336.70703
 37        8         61217.06250
 37        9         78500.46094
 37       10         98365.18750
 37       11        121024.64062
 37       12        146733.54688
 37       13        175795.79688
 37       14        208574.43750
 37       15        245504.53125
 37       16        287109.68750
 37       17        334023.56250
 37       18        387018.53125
 37       19        447043.40625
 37       20        515275.21875
 37       21        593189.75000
 37       22        682661.06250
 37       23        786102.93750
 37       24        906676.43750
 37       25       1048600.62500
 37       26       1217633.25000
 37       27       1421839.50000
 37       28       1672874.00000
 37       29       1988223.00000
 37       30       2395370.50000
 37       31       2940128.00000
 37       32       3704963.25000
 37       33       4854817.00000
 37       34       6774562.50000
 37       35      10618829.00000
 37       36      22160786.00000
 38        1           912.43188
 38        2          3657.33105
 38        3          8257.66699
 38        4         14752.25977
 38        5         23196.60352
 38        6         33664.07031
 38        7         46247.54297
 38        8         61061.52734
 38        9         78244.88281
 38       10         97964.22656
 38       11        120418.25000
 38       12        145843.10938
 38       13        174519.23438
 38       14        206779.87500
 38       15        243022.00000
 38       16        283720.21875
 38       17        329444.78125
 38       18        380884.90625
 38       19        438879.71875
 38       20        504459.46875
 38       21        578901.18750
 38       22        663805.56250
 38       23        761204.50000
 38       24        873714.50000
 38       25       1004761.25000
 38       26       1158916.75000
 38       27       1342419.50000
 38       28       1564007.75000
 38       29       1836307.75000
 38       30       2178263.25000
 38       31       2619648.50000
 38       32       3210091.75000
 38       33       4038929.75000
 38       34       5284843.50000
 38       35       7364762.50000
 38       36      11529489.00000
 38       37      24033054.00000
 39        1           912.39984
 39        2          3656.81689
 39        3          8255.04590
 39        4         14743.89648
 39        5         23175.93164
 39        6         33620.55078
 39        7         46165.44922
 39        8         60918.50391
 39        9         78010.18750
 39       10         97596.60938
 39       11        119863.27344
 39       12        145029.82812
 39       13        173355.96875
 39       14        205148.79688
 39       15        240772.18750
 39       16        280658.53125
 39       17        325323.87500
 39       18        375387.37500
 39       19        431596.59375
 39       20        494860.93750
 39       21        566296.18750
 39       22        647284.81250
 39       23        739558.93750
 39       24        845316.75000
 39       25        967388.25000
